numero_de_cliente	prob
29186441	9.97889377266328e-06
29187961	4.29441495886214e-06
29193101	1.91721207739029e-06
29193281	5.42645450260462e-06
29198891	1.38235807548431e-05
29200651	0.000113446054649304
29201701	3.15518098152278e-06
29205441	0.0165544204663978
29207901	8.15789335272558e-05
29243631	4.5514460452305e-06
29251231	3.83665527250323e-05
29257551	6.41601084260504e-06
29267141	4.42794752353434e-06
29277081	8.64192221543414e-06
29284331	5.47372558798674e-05
29286091	2.46927422847191e-06
29288251	0.000107871242484913
29289361	1.13467413014086e-05
29292171	1.16041097308655e-05
29297201	2.90980522123644e-05
29298431	9.20331950877244e-06
29300881	1.37432027671292e-06
29300941	8.84461980955301e-07
29304511	1.19464594845249e-05
29325391	1.05569139022172e-05
29344801	2.81224551848641e-06
29344861	1.1496766363112e-05
29346321	7.98836020818688e-07
29347841	9.79749855533936e-07
29347901	9.468699859117e-07
29348781	5.8297751911693e-07
29352931	2.70589534848599e-06
29357321	0.000360993637457396
29361471	4.51412532791983e-07
29362581	6.10594983743699e-07
29362871	0.000155561356229912
29363051	1.39205108409296e-05
29367201	9.68334237095347e-05
29367321	0.000152927977115426
29375271	0.00010242113335405
29389891	1.54384124656835e-06
29391591	3.2288245342549e-06
29393401	8.22599937111447e-06
29400771	8.30548882872798e-06
29404571	6.47193434692212e-06
29409661	6.02276813809263e-06
29411411	2.05546844456747e-06
29413051	2.58576599828912e-05
29414921	1.82822818802802e-06
29421061	3.15346569981058e-05
29431471	0.000339204550743598
29435681	1.71784771382487e-06
29439191	0.0111750118952994
29445271	2.70482801808108e-05
29448491	7.51832374933427e-06
29453171	0.000325638329407442
29455801	0.00270151683812866
29456851	1.10942497491957e-06
29458431	1.9616120941797e-06
29459541	5.26557727913637e-05
29459891	6.59512539118724e-05
29464861	6.6034353696511e-07
29479891	7.45246591586708e-05
29487201	0.00044504588126941
29497031	2.56515378458804e-06
29499951	4.90184303578233e-06
29512231	4.55421435461211e-06
29515161	0.000605343623997601
29522821	6.54035745335316e-07
29524631	0.000390130170560314
29525331	1.86880417190015e-06
29525741	4.24780363527053e-06
29527261	1.27240407224634e-06
29531531	8.06072994885776e-06
29532231	3.17268143183172e-06
29536971	0.000112905801823639
29541301	8.71691067187575e-07
29542231	2.73584392243546e-06
29542701	1.46436982994557e-05
29550191	4.05887301245814e-06
29554631	1.16057072925262e-06
29571531	3.45748962900006e-07
29575511	8.13021441073708e-05
29577321	3.01301163132222e-06
29587731	1.68506124102076e-06
29592761	1.20992134684745e-05
29593291	8.00257975062464e-05
29599311	3.01773656231467e-06
29601531	5.31784234494725e-05
29609371	1.49477677188588e-06
29610361	3.46244608658995e-06
29611301	1.10655170079206e-06
29614051	2.31023040935116e-05
29614981	1.69042001975105e-06
29618961	0.000117564367710867
29624461	0.000157517624052021
29624751	7.20879393390996e-06
29628261	6.35368619648062e-05
29635041	2.90419878151798e-06
29643171	4.60022671745971e-06
29644281	2.12837031683991e-06
29652351	0.000462455674039921
29652941	8.02475938250333e-06
29661361	3.46215297405983e-05
29662821	4.77350096419367e-06
29673351	2.26333115999607e-06
29673641	6.59014091678418e-05
29678261	2.09952038600587e-06
29688611	6.81488498533453e-05
29691771	5.40908557941282e-07
29700661	2.07300038706906e-06
29710311	1.38639995642007e-05
29716451	4.60040779093812e-07
29717211	0.000143812005898085
29718201	5.80114773930559e-07
29733351	1.26052590245063e-06
29734111	1.69121816728907e-05
29735281	6.64493442910397e-05
29741301	3.81523069393978e-07
29747091	5.07728313765592e-07
29749721	4.40875488011742e-05
29755341	0.00801836020447475
29760311	1.43164632300348e-06
29773581	1.47632128340042e-06
29777211	0.00011467341356881
29778261	6.39636416665993e-07
29780251	0.00011140273797575
29787911	0.000200514480033052
29794991	7.57208311210272e-06
29798791	1.63363542335349e-06
29804111	5.06927394490585e-06
29806391	7.94265918270882e-06
29814461	3.49577524641819e-05
29816331	0.0135703711506235
29818851	5.1376908013926e-06
29821301	3.89023688438627e-05
29821421	3.7003548539423e-06
29827911	0.00144398990817601
29852651	0.000373306741367141
29853881	0.000886633827893522
29854991	3.42005040592563e-06
29859841	4.68595015692638e-06
29861011	0.000242449661913226
29861891	1.31878615446444e-05
29869491	9.39571021687317e-07
29874171	2.82311498917474e-06
29905051	8.27127912534271e-05
29908031	2.77747119874789e-05
29914871	6.86658096094818e-06
29916451	3.59374125885109e-06
29919841	2.55991697060722e-06
29923701	9.24747324254778e-05
29924991	2.35308437071053e-05
29926451	2.66998891834196e-06
29932941	3.44537107850878e-06
29941421	3.23997013729449e-05
29944291	7.47822907786973e-06
29945871	9.72658991618893e-06
29949731	0.00020560497291216
29954111	0.02998549817905
29954991	1.98348602169624e-06
29955631	1.78711417575907e-06
29956101	6.92450622896755e-05
29960781	3.04517803004075e-05
29963881	4.18609327464324e-07
29964991	2.97319211768645e-06
29972831	1.85535290866553e-06
29981541	6.85087781355157e-06
29988381	3.79923988925526e-07
29996981	3.54545295427923e-06
30004521	6.76767722144377e-06
30010141	7.21136765913979e-06
30012711	2.49897334919247e-06
30015341	2.8815786912723e-06
30017391	4.58220953180092e-06
30024291	1.18864421552624e-06
30031721	6.13555235596115e-07
30035341	0.000410459383826159
30041541	0.00444488297574759
30042421	3.47015105325605e-06
30043471	1.74900882952707e-06
30050551	4.38414608714522e-07
30052891	6.84471059762208e-06
30053181	3.62183892019696e-06
30054291	2.21897395133512e-05
30054351	7.6807300214191e-07
30056571	1.62114955403429e-05
30065341	1.37102429514967e-06
30092541	1.96433141726275e-06
30109091	9.89931012275038e-05
30110021	2.26035533264068e-06
30112421	4.88310780471057e-06
30116161	9.05277057173392e-05
30123711	5.74407915876469e-07
30123881	0.00207505410534721
30126751	1.97640188474151e-05
30130551	4.93209960179146e-06
30132951	3.78859395447924e-07
30133531	8.80277003236619e-05
30135171	0.00113163796628969
30136631	3.8684676221627e-06
30138151	4.04037750646885e-06
30149671	2.13088477092995e-06
30159501	2.43060997514993e-06
30188681	9.18080868176812e-06
30192601	1.93555549239901e-05
30193301	7.50602540529901e-06
30203181	4.70718194500054e-06
30206281	1.80935688743855e-05
30210551	1.41749197474066e-05
30212541	3.63406414014991e-06
30217861	1.22759068382471e-05
30224001	3.04767894773027e-05
30235641	2.05627659963982e-06
30239381	4.77732010054005e-05
30240261	1.37330967161288e-06
30241251	6.98628204426914e-06
30257281	5.61764250612141e-06
30260671	5.04167971901153e-07
30276521	2.54745434912067e-07
30276871	2.78379527544552e-05
30278801	3.318997263696e-06
30283651	8.14625429173775e-05
30294761	2.22185954961949e-05
30304241	3.09428743473442e-06
30305001	2.51734848141633e-06
30315231	6.81312516929545e-06
30317691	7.09882921908656e-06
30341551	4.46251190805728e-06
30344821	0.000201461918850341
30345581	0.00025231234845986
30346871	8.80402986651017e-07
30351841	2.65615509543328e-05
30356461	4.90016141454366e-05
30359271	1.8505048525634e-06
30361201	3.19121265023361e-06
30362661	4.07251238378185e-07
30375061	4.36992276372308e-05
30385991	8.34553937740929e-07
30412191	0.000319193661645834
30415641	5.16457795487078e-07
30422661	2.67181617954062e-05
30427281	1.89775919081487e-06
30431901	1.12853799369552e-06
30440791	2.12985770877915e-05
30442781	8.02228637926031e-05
30443191	2.40529945576938e-06
30443771	9.51219212352028e-06
30449971	3.61622592411334e-06
30456231	1.14560847553551e-06
30458391	1.4139916499848e-06
30460321	0.000111351732305523
30466051	6.94517629924375e-06
30466871	0.00448020535349642
30470851	1.82575105811006e-06
30483361	5.06524772404815e-05
30484301	2.27085019429991e-05
30487341	5.37658317454241e-05
30493071	6.44095606890873e-06
30494711	1.01203406322612e-05
30516701	8.85651146785223e-06
30521141	4.55492684561815e-06
30525941	1.21895772577052e-06
30534241	0.0129874950388047
30548631	7.07401258697846e-07
30549271	5.92541995226446e-06
30561321	3.16656559926886e-07
30565351	6.28909951020047e-05
30577521	3.15982366042461e-05
30581671	8.08899530271759e-05
30584711	0.000864940186964417
30587461	1.12430002063304e-06
30590381	1.27379250534131e-06
30594301	6.72203098324083e-06
30597521	1.04598277341391e-05
30604241	7.04458544018114e-07
30604481	4.48516896335111e-06
30609101	6.56253902249086e-06
30618861	7.52149214706683e-06
30629331	1.0872789148063e-05
30645181	3.55023690223142e-07
30648921	9.84095292986227e-06
30655121	4.12941546508199e-06
30658161	1.06994915713268e-05
30665531	1.68587302774583e-06
30668571	1.49093354170921e-06
30672611	6.06760031063941e-07
30679041	0.00774299364083682
30681321	5.91268568876431e-06
30681791	0.000242914615080767
30685881	2.31121161521576e-05
30687871	6.98329823926038e-07
30692201	5.94813970925574e-07
30705881	2.00590947954875e-06
30707231	7.98676148996913e-07
30707931	1.69849708439604e-06
30708281	2.71826645209702e-06
30711091	6.08847614093333e-06
30711321	2.09915248495857e-06
30711851	3.77976417899766e-06
30718221	1.80062304220417e-05
30735241	1.02221334455924e-06
30760151	2.85084447803609e-07
30764421	1.54578203884089e-05
30769391	3.23305738593111e-06
30773251	2.91336337858071e-06
30774601	3.97692840584457e-06
30777871	0.00019403762868632
30779571	1.4530163430785e-05
30784011	5.91912318163596e-06
30784071	2.41026198589979e-05
30788051	5.2197175014278e-06
30788691	2.69894648805909e-06
30793081	8.02616447238241e-05
30793311	8.55553855914716e-07
30799571	2.95528364427706e-06
30803721	1.12459611275782e-05
30807991	6.86649984815004e-05
30817581	4.12782795755003e-06
30825711	4.66303189101145e-05
30831091	1.30459141676282e-05
30838461	6.97175639741438e-05
30839631	1.16986881511485e-06
30840741	3.09466439140118e-06
30841151	1.46654240022461e-05
30850041	3.5164066089124e-06
30851381	6.95753499082035e-07
30863311	9.26387856873274e-07
30865831	2.49832853169649e-05
30869571	1.69510430327411e-06
30879221	2.41213434423603e-06
30881151	6.79185940493025e-06
30885301	1.04871627004981e-05
30887931	9.03755196731997e-06
30893021	1.21488678144386e-05
30897701	8.33888948068024e-05
30934721	3.72171852915355e-06
30935891	1.73738918517845e-05
30941621	0.000233946390706587
30950041	1.37523158054506e-06
30956531	1.79267124343438e-06
30959571	2.9703012949497e-06
30983611	1.93035263638315e-06
30993901	3.60337410548974e-05
31003611	3.55933277293565e-06
31010571	2.75044907178643e-06
31013021	3.29390137316159e-06
31013431	3.61319652272022e-06
31015891	1.79855642568484e-05
31018811	6.82481035351274e-07
31023781	3.03514808727551e-06
31025191	6.90606793879549e-07
31027471	2.66995531926112e-05
31032261	6.60158200057109e-07
31053551	0.000129164675011517
31059631	0.000201042900772695
31067121	1.8160300988083e-06
31067761	1.39103154405813e-06
31070511	1.78607588591614e-05
31077411	5.33228895024883e-07
31078931	1.00304152391671e-05
31080161	0.000112205127081409
31082321	1.80648704133665e-06
31089281	0.0104101786071838
31095011	1.7335758179676e-05
31096771	0.00177654085744189
31101971	1.75369647665202e-06
31102091	4.05749973010023e-06
31116301	4.6027191719885e-05
31117181	0.00188077707381575
31122321	3.56988927507843e-06
31124431	8.57730944862246e-06
31126651	2.01951097096236e-06
31128291	2.7261138465663e-05
31136361	1.40558837102158e-06
31152031	3.24965289817362e-05
31154021	3.75282898480186e-07
31154141	3.92505541666244e-05
31155541	1.44426285290568e-05
31160221	6.04373047659114e-07
31162151	4.04686721782393e-05
31165541	1.55715711383081e-05
31188931	5.90629978554855e-07
31194491	1.29369651819533e-05
31195891	0.000121041701796647
31198411	4.72412099558442e-06
31199341	2.57134383062732e-05
31200691	3.29870295059596e-05
31201101	5.87760814982034e-07
31211681	5.71920575875815e-07
31219811	4.81022666149884e-07
31220691	0.0113133752648288
31232441	3.80601192033247e-06
31233961	1.55225606473171e-05
