numero_de_cliente	prob
29186441	0.000987697414085548
29187961	0.0012278030600517
29193101	0.000498791310811649
29193281	0.000663604709427013
29198891	0.00130606158706979
29200651	0.0040568905262721
29201701	0.000610035567263755
29205441	0.0939452955221519
29207901	0.011202378201315
29243631	0.000437509407552229
29251231	0.00252272952314956
29257551	0.000365315418859436
29267141	0.000799768902791097
29277081	0.00276035993795731
29284331	0.0021333563720305
29286091	0.00060176902919768
29288251	0.00764587766027242
29289361	0.00178277101589731
29292171	0.00147230600750525
29297201	0.00310659164839364
29298431	0.0016773913064858
29300881	0.000441858223680466
29300941	0.000235717562005621
29304511	0.0026653592447398
29325391	0.00140510559543625
29344801	0.000395831315372525
29344861	0.000696225563200917
29346321	0.000162390113959839
29347841	0.000219249055047034
29347901	0.000267977260111398
29348781	0.0001676664315112
29352931	0.000320366134928807
29357321	0.0182320035946622
29361471	0.000169617471612107
29362581	0.000189453607737455
29362871	0.0109821609019717
29363051	0.00075517633037625
29367201	0.00413802124266589
29367321	0.0332413290099065
29375271	0.00782380493657555
29389891	0.000454127562469154
29391591	0.000769905655558977
29393401	0.000522647553035177
29400771	0.00081442909336018
29404571	0.000509060410121078
29409661	0.000959678914336026
29411411	0.000290345532449779
29413051	0.00133509995714071
29414921	0.000339023964701317
29421061	0.00799759097979311
29431471	0.0145016272070087
29435681	0.00022725177414545
29439191	0.0173021575248914
29445271	0.00642413774547212
29448491	0.000429317083887169
29453171	0.00759178787165546
29455801	0.115861925843224
29456851	0.000818442157589637
29458431	0.000356818210996539
29459541	0.0109103118053659
29459891	0.00387510641524599
29464861	0.000199229623475521
29479891	0.00237955485630916
29487201	0.0408360973379813
29497031	0.00165180813703756
29499951	0.00107064280161981
29512231	0.00128201957233373
29515161	0.00480057530247296
29522821	0.000380409426252405
29524631	0.0200707748426196
29525331	0.000333798317486666
29525741	0.000588990448668213
29527261	0.000234809425002066
29531531	0.000715438689538951
29532231	0.000372755576816352
29536971	0.00380308361823153
29541301	0.000185864069092549
29542231	0.0003088213620474
29542701	0.00128431939272926
29550191	0.000143548119031001
29554631	0.000451550595450961
29571531	0.000263844498418706
29575511	0.0106767118202682
29577321	0.00101260886076554
29587731	0.000244225843236602
29592761	0.001348105598603
29593291	0.00852525915865769
29599311	0.000493663144317696
29601531	0.00142838878017011
29609371	0.000118111919489695
29610361	0.000239655688745187
29611301	0.000345767994777152
29614051	0.00402401853029779
29614981	0.000221823857642547
29618961	0.00855553949525969
29624461	0.00567241816581197
29624751	0.000873996405657647
29628261	0.00787810661003343
29635041	0.00169646800314709
29643171	0.000945545813701284
29644281	0.000224883458153358
29652351	0.0200018579373012
29652941	0.000729911635127229
29661361	0.00139727345159247
29662821	0.00141788163156238
29673351	0.000244515149820491
29673641	0.00402293124397577
29678261	0.000207888475636633
29688611	0.00910640999798306
29691771	0.000270725249144555
29700661	0.000404430637523995
29710311	0.00388648903947487
29716451	0.000160890893382454
29717211	0.0204497446319899
29718201	0.000365717672335937
29733351	0.000296450087667388
29734111	0.000985780836861208
29735281	0.00324480247113447
